Country,Presidency,President,Wikipedia_Entry,Took_office,Left_office,Party
Switzerland,161,Hans-Rudolf Merz,http://en.wikipedia.org/wiki/Hans-Rudolf_Merz,2009,2009,
Switzerland,162,Doris Leuthard,http://en.wikipedia.org/wiki/Doris_Leuthard,2010,2010,
Switzerland,163,Micheline Calmy-Rey,http://en.wikipedia.org/wiki/Micheline_Calmy-Rey,2011,2011,
Switzerland,164,Eveline Widmer-Schlumpf,http://en.wikipedia.org/wiki/Eveline_Widmer-Schlumpf,2012,2012,
Switzerland,165,Ueli Maurer,http://en.wikipedia.org/wiki/Ueli_Maurer,2013,2013,
Italy,1,nrico De Nicola ,http://en.wikipedia.org/wiki/Enrico_De_Nicola,1-Jul-46,12-May-48,Italian Liberal Party
Italy,2,Luigi Einaudi,http://en.wikipedia.org/wiki/Luigi_Einaudi,12-May-48,11-May-55,Italian Liberal Party
Italy,3,Giovanni Gronchi,http://en.wikipedia.org/wiki/Giovanni_Gronchi,11-May-55,11-May-62,Christian Democracy
Italy,4,Antonio Segni,http://en.wikipedia.org/wiki/Antonio_Segni,11-May-62,6-Dec-64,Christian Democracy
Italy,5,Giuseppe Saragat,http://en.wikipedia.org/wiki/Giuseppe_Saragat,29-Dec-64,29-Dec-71,Italian Democratic Socialist Party
Italy,6,Giovanni Leone,http://en.wikipedia.org/wiki/Giovanni_Leone,29-Dec-71,15-Jun-78,Christian Democracy
Italy,7,Sandro Pertini,http://en.wikipedia.org/wiki/Sandro_Pertini,9-Jul-78,29-Jun-85,Italian Socialist Party
Italy,8,Francesco Cossiga,,3-Jul-85,28-Apr-92,Christian Democracy
Italy,9,Oscar Luigi Scalfaro,http://en.wikipedia.org/wiki/Oscar_Luigi_Scalfaro,28-May-92,15-May-99,Christian Democracy
Italy,10,Carlo Azeglio Ciampi,http://en.wikipedia.org/wiki/Carlo_Azeglio_Ciampi,18-May-99,15-May-06,Independent
Italy,11,Giorgio Napolitano,http://en.wikipedia.org/wiki/Giorgio_Napolitano,15-May-06,Incumbent,Democrats of the Left
Turkey,1,Mustafa Kemal Atatürk,http://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,29-Oct-23,10-Nov-38,Republican People's Party
Turkey,2,?smet ?nönü,http://en.wikipedia.org/wiki/%C4%B0smet_%C4%B0n%C3%B6n%C3%BC,11-Nov-38,22-May-50,Republican People's Party
Turkey,3,Celâl Bayar,http://en.wikipedia.org/wiki/Cel%C3%A2l_Bayar,22-May-50,27-May-60,Democrat Party
Turkey,4,Cemal Gürsel,http://en.wikipedia.org/wiki/Cemal_G%C3%BCrsel,10-Oct-61,2-Feb-66,Independent
Turkey,5,Cevdet Sunay,http://en.wikipedia.org/wiki/Cevdet_Sunay,28-Mar-66,28-Mar-73,Independent
Turkey,6,Fahri Korutürk,http://en.wikipedia.org/wiki/Fahri_Korut%C3%BCrk,6-Apr-73,6-Apr-80,Independent
Turkey,7,Kenan Evren,http://en.wikipedia.org/wiki/Kenan_Evren,9-Nov-82,9-Nov-89,Independent
Turkey,8,Turgut Özal,http://en.wikipedia.org/wiki/Turgut_%C3%96zal,9-Nov-89,17-Apr-93,Motherland Party
Turkey,9,Süleyman Demirel,http://en.wikipedia.org/wiki/S%C3%BCleyman_Demirel,16-May-93,16-May-00,True Path Party
Turkey,10,Ahmet Necdet Sezer,http://en.wikipedia.org/wiki/Ahmet_Necdet_Sezer,16-May-00,28-Aug-07,Independent
Turkey,11,Abdullah Gül,http://en.wikipedia.org/wiki/Abdullah_G%C3%BCl,28-Aug-07,Incumbent,Justice and Development Party
Syria,1,Muhammad Ali al-Abid,http://en.wikipedia.org/wiki/Muhammad_Ali_al-Abid,27-Sep-36,21-Dec-36,Independent
Syria,2,Hashim al-Atassi,http://en.wikipedia.org/wiki/Hashim_al-Atassi,21-Dec-36,7-Jul-39,National Bloc
Syria,3,Bahij al-Khatib,http://en.wikipedia.org/wiki/Bahij_al-Khatib,10-Jul-39,4-Apr-41,Independent
Syria,4,Taj al-Din al-Hasani,http://en.wikipedia.org/wiki/Taj_al-Din_al-Hasani,16-Sep-41,17-Jan-43,Independent
Syria,5,Ata al-Ayyubi,http://en.wikipedia.org/wiki/Ata_al-Ayyubi,25-Mar-43,17-Aug-43,Independent
Syria,6,Shukri al-Quwatli,http://en.wikipedia.org/wiki/Shukri_al-Quwatli,17-Aug-43,17-Apr-46,National Bloc
Syria,7,Husni al-Za'im,http://en.wikipedia.org/wiki/Husni_al-Za%27im,30-Mar-49,14-Aug-49,Military
Syria,8,Hashim al-Atassi,http://en.wikipedia.org/wiki/Hashim_al-Atassi,15-Aug-49,2-Dec-51,National Party
Syria,9,Fawzi Selu,http://en.wikipedia.org/wiki/Fawzi_Selu,3-Dec-51,11-Jul-53,Military
Syria,10,Adib Shishakli,http://en.wikipedia.org/wiki/Adib_Shishakli,11-Jul-53,25-Feb-54,Military
Syria,11,Hashim al-Atassi,http://en.wikipedia.org/wiki/Hashim_al-Atassi,28-Feb-54,6-Sep-55,National Party
Syria,12,Shukri al-Quwatli,http://en.wikipedia.org/wiki/Shukri_al-Quwatli,6-Sep-55,22-Feb-58,National Party
Syria,13,Gamal Abdel Nasser,http://en.wikipedia.org/wiki/Gamal_Abdel_Nasser,22-Feb-58,29-Sep-61,National Union
Syria,14,Nazim al-Kudsi,http://en.wikipedia.org/wiki/Nazim_al-Kudsi,14-Dec-61,8-Mar-63,People's Party
Syria,15,Luai al-Atassi,http://en.wikipedia.org/wiki/Luai_al-Atassi,9-Mar-63,27-Jul-63,Military
Syria,16,Amin al-Hafiz,http://en.wikipedia.org/wiki/Amin_al-Hafiz,27-Jul-63,23-Feb-66,Military
Syria,17,Nureddin al-Atassi,http://en.wikipedia.org/wiki/Nureddin_al-Atassi,25-Feb-66,18-Nov-70,Military
Syria,18,Hafez al-Assad,http://en.wikipedia.org/wiki/Hafez_al-Assad,22-Feb-71,10-Jun-00,Military
Syria,19,Bashar al-Assad,http://en.wikipedia.org/wiki/Bashar_al-Assad,17-Jul-00,Incumbent,Syrian Ba'ath Party
Iraq,1,Muhammad Najib ar-Ruba'i,http://en.wikipedia.org/wiki/Muhammad_Najib_ar-Ruba%27i,14-Jul-58,8-Feb-63,Military
Iraq,2,Abdul Salam Arif,http://en.wikipedia.org/wiki/Abdul_Salam_Arif,8-Feb-63,13-Apr-66,Military
Iraq,3,Abdul Rahman Arif,http://en.wikipedia.org/wiki/Abdul_Rahman_Arif,16-Apr-66,17-Jul-68,Military
Iraq,4,Ahmed Hassan al-Bakr,http://en.wikipedia.org/wiki/Ahmed_Hassan_al-Bakr,17-Jul-68,16-Jul-79,Military
Iraq,5,Saddam Hussein,http://en.wikipedia.org/wiki/Saddam_Hussein,16-Jul-79,9-Apr-03,Iraqi Ba'ath Party
Iraq,6,Jalal Talabani,http://en.wikipedia.org/wiki/Jalal_Talabani,7-Apr-05,Incumbent,Patriotic Union of Kurdistan
Iran,1,Abulhassan Banisadr,http://en.wikipedia.org/wiki/Abulhassan_Banisadr,4-Feb-80,22-Jun-81,Independent
Iran,2,Mohammad-Ali Rajai,http://en.wikipedia.org/wiki/Mohammad-Ali_Rajai,2-Aug-81,30-Aug-81,Islamic Republican Party
Iran,3,Ali Khamenei,,13-Oct-81,16-Aug-85,Islamic Republican Party
Iran,4,Akbar Hashemi Rafsanjani,http://en.wikipedia.org/wiki/Akbar_Hashemi_Rafsanjani,3-Aug-89,3-Aug-93,Combatant Clergy Association
Iran,5,Mohammad Khatami,,2-Aug-97,8-Aug-01,Association of Combatant Clerics
Iran,6,Mahmoud Ahmadinejad,http://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad,3-Aug-05,5-Aug-09,Alliance of Builders of Islamic Iran
Iran,7,Hassan Rouhani,http://en.wikipedia.org/wiki/Hassan_Rouhani,3-Aug-13,Incumbent,Combatant Clergy Association
Israel,1,Chaim Weizmann,http://en.wikipedia.org/wiki/Chaim_Weizmann,17-Feb-49,25-Nov-51,None
Israel,2,Yitzhak Ben-Zvi,http://en.wikipedia.org/wiki/Yitzhak_Ben-Zvi,16-Dec-52,28-Oct-57,Mapai
Israel,3,Zalman Shazar,http://en.wikipedia.org/wiki/Zalman_Shazar,21-May-63,26-Mar-68,Mapai
Israel,4,Ephraim Katzir,,24-May-73,29-May-78,Alignment
Israel,5,Yitzhak Navon,http://en.wikipedia.org/wiki/Yitzhak_Navon,29-May-78,5-May-83,Alignment
Israel,6,Chaim Herzog,http://en.wikipedia.org/wiki/Chaim_Herzog,5-May-83,23-Feb-88,Alignment
Israel,7,Ezer Weizman,http://en.wikipedia.org/wiki/Ezer_Weizman,13-May-93,4-Mar-98,Labor
Israel,8,Moshe Katsav,http://en.wikipedia.org/wiki/Moshe_Katsav,1-Aug-00,1-Jul-07,Likud
Israel,9,Shimon Peres,http://en.wikipedia.org/wiki/Shimon_Peres,15-Jul-07,Incumbent,Kadima
Turkmenistan,1,Saparmurat Niyazov,http://en.wikipedia.org/wiki/Saparmurat_Niyazov,2-Nov-90,21-Dec-06,Communist Party of Turkmenistan
Turkmenistan,2,Gurbanguly Berdimuhamedow,http://en.wikipedia.org/wiki/Gurbanguly_Berdimuhamedow,21-Dec-06,Incumbent,Democratic Party of Turkmenistan
Afghanistan,1,Mohammed Daoud Khan,http://en.wikipedia.org/wiki/Mohammed_Daoud_Khan,17-Jul-73,27-Apr-78,Independent
Afghanistan,2,Abdul Qadir Dagarwal,http://en.wikipedia.org/wiki/Abdul_Qadir_Dagarwal,27-Apr-78,30-Apr-78,People's Democratic Party
Afghanistan,3,Nur Muhammad Taraki,http://en.wikipedia.org/wiki/Nur_Muhammad_Taraki,30-Apr-78,14-Sep-79,People's Democratic Party
Afghanistan,4,Hafizullah Amin,http://en.wikipedia.org/wiki/Hafizullah_Amin,14-Sep-79,27-Dec-79,People's Democratic Party
Afghanistan,5,Babrak Karmal,http://en.wikipedia.org/wiki/Babrak_Karmal,27-Dec-79,24-Nov-86,People's Democratic Party
Afghanistan,6,Haji Mohammad Chamkani,http://en.wikipedia.org/wiki/Haji_Mohammad_Chamkani,24-Nov-86,30-Sep-87,Independent
Afghanistan,7,Mohammad Najibullah,http://en.wikipedia.org/wiki/Mohammad_Najibullah,30-Sep-87,30-Nov-87,People's Democratic Party
Afghanistan,8,Abdul Rahim Hatef,http://en.wikipedia.org/wiki/Abdul_Rahim_Hatef,16-Apr-92,28-Apr-92,Democratic Watan Party
Afghanistan,9,Sibghatullah Mojaddedi,http://en.wikipedia.org/wiki/Sibghatullah_Mojaddedi,28-Apr-92,28-Jun-92,National Liberation Front of Afghanistan
Afghanistan,10,Burhanuddin Rabbani,http://en.wikipedia.org/wiki/Burhanuddin_Rabbani,28-Jun-92,27-Sep-96,Jamiat-e Islami
Afghanistan,11,Mullah Mohammed Omar,,27-Sep-96,13-Nov-01,Taliban
Afghanistan,12,Hamid Karzai,http://en.wikipedia.org/wiki/Hamid_Karzai,22-Dec-01,Incumbent,Independent
